label,link
Receive Counselling Services provided by Campus Wellness Dept.,https://uwaterloo.ca/campus-wellness/counselling-services/individual-appointments
Speak to a health professional by booking with Health Services,https://uwaterloo.ca/campus-wellness/health-services
